id,room_id,start_at,end_at,user_id,rssi
1537,1,2022-10-17 19:21:03,2022-10-17 20:22:23,5,-76
1538,1,2022-10-17 22:31:56,2022-10-18 09:40:00,15,-72
1539,1,2022-10-18 08:17:57,2022-10-18 08:19:54,1,-81
1540,5,2022-10-18 08:19:54,2022-10-18 18:01:14,1,-72
1541,1,2022-10-18 08:29:20,2022-10-18 08:31:37,12,-94
1542,1,2022-10-18 08:33:53,2022-10-18 10:11:54,12,-76
1543,1,2022-10-18 08:47:32,2022-10-18 10:34:46,22,-78
1544,1,2022-10-18 08:49:49,2022-10-18 12:31:33,23,-84
1545,1,2022-10-18 08:56:39,2022-10-18 11:47:55,17,-64
1546,1,2022-10-18 08:58:56,2022-10-18 09:21:45,18,-83
1547,1,2022-10-18 09:01:13,2022-10-18 10:34:46,20,-76
1548,1,2022-10-18 09:01:14,2022-10-18 10:21:02,25,-75
1549,1,2022-10-18 09:24:02,2022-10-18 09:26:19,18,-89
1550,1,2022-10-18 09:28:37,2022-10-18 09:40:01,18,-86
1551,1,2022-10-18 09:42:18,2022-10-18 10:16:28,18,-85
1552,1,2022-10-18 09:42:18,2022-10-18 10:50:48,15,-62
1553,1,2022-10-18 10:14:11,2022-10-18 12:01:48,12,-76
1554,1,2022-10-18 10:18:45,2022-10-18 10:27:54,18,-83
1555,1,2022-10-18 10:21:03,2022-10-18 10:30:11,11,-65
1556,1,2022-10-18 10:25:37,2022-10-18 10:53:05,6,-67
1557,1,2022-10-18 10:25:37,2022-10-18 10:30:11,25,-76
1558,1,2022-10-18 10:30:12,2022-10-18 10:41:37,18,-91
1559,1,2022-10-18 10:32:29,2022-10-18 17:12:04,11,-74
1560,1,2022-10-18 10:39:20,2022-10-18 18:06:43,2,-80
1561,1,2022-10-18 10:43:54,2022-10-18 12:13:15,3,-73
1562,1,2022-10-18 10:43:55,2022-10-18 11:22:47,18,-91
1563,1,2022-10-18 10:48:31,2022-10-18 12:49:54,16,-64
1564,1,2022-10-18 10:53:06,2022-10-18 14:57:37,15,-60
1565,1,2022-10-18 10:55:23,2022-10-18 18:06:44,6,-61
1566,1,2022-10-18 10:55:23,2022-10-18 11:52:37,4,-77
1567,1,2022-10-18 11:04:31,2022-10-18 14:39:23,5,-75
1568,1,2022-10-18 11:25:04,2022-10-18 11:27:22,18,-95
1569,2,2022-10-18 11:29:55,2022-10-18 11:35:05,18,-87
1570,1,2022-10-18 11:50:15,2022-10-18 12:49:54,17,-81
1571,1,2022-10-18 11:54:54,2022-10-18 12:43:02,20,-78
1572,1,2022-10-18 11:54:54,2022-10-18 12:20:07,22,-75
1573,1,2022-10-18 11:54:55,2022-10-18 14:39:23,4,-61
1574,1,2022-10-18 12:04:06,2022-10-18 12:29:16,12,-74
1575,1,2022-10-18 12:15:32,2022-10-18 13:08:12,3,-78
1576,1,2022-10-18 12:22:24,2022-10-18 12:43:02,22,-96
1577,1,2022-10-18 12:31:34,2022-10-18 14:39:24,12,-69
1578,1,2022-10-18 12:33:53,2022-10-18 13:01:20,23,-76
1579,2,2022-10-18 12:50:03,2022-10-18 12:52:38,18,-78
1580,1,2022-10-18 12:52:12,2022-10-18 13:33:19,16,-71
1581,1,2022-10-18 12:52:12,2022-10-18 13:03:38,17,-70
1582,1,2022-10-18 13:10:29,2022-10-18 14:39:24,3,-70
1583,1,2022-10-18 14:59:54,2022-10-18 18:40:49,15,-71
1584,1,2022-10-18 15:56:51,2022-10-18 18:06:44,4,-66
1585,1,2022-10-18 15:56:52,2022-10-18 18:04:27,5,-81
1586,1,2022-10-18 17:14:21,2022-10-18 18:06:44,11,-67
1587,1,2022-10-19 08:16:20,2022-10-19 08:17:38,1,-83
1588,5,2022-10-19 08:17:38,2022-10-19 18:23:27,1,-77
1589,1,2022-10-19 09:56:17,2022-10-19 10:03:07,23,-81
1590,2,2022-10-19 10:04:44,2022-10-19 10:30:36,23,-94
1591,2,2022-10-19 10:56:27,2022-10-19 11:01:37,25,-92
1592,2,2022-10-19 11:06:48,2022-10-19 11:19:46,25,-89
1593,2,2022-10-19 11:24:56,2022-10-19 11:27:32,25,-96
1594,2,2022-10-19 11:30:07,2022-10-19 11:32:43,25,-92
1595,2,2022-10-19 11:35:19,2022-10-19 11:48:16,25,-94
